id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
40551225,HENDAYE PLAGE Logement entier avec jardin,29734875,Danielle,Hendaye,Hendaye,43.36892,-1.76405,Entire home/apt,90,3,5,2021-11-01,0.12,1,267,0,64260001118B2
39337662,"Maison de maître, chambre n°2",282821294,Hervé,Bayonne-Nord,Boucau,43.52243,-1.48657,Private room,55,2,26,2023-08-23,0.49,2,359,7,
40560812,"Apt de 35 m2 et sa grande terrasse, 5 min plage",26854919,Kévin,Bayonne-Nord,Boucau,43.52738,-1.49241,Entire home/apt,90,365,15,2021-08-27,0.29,1,365,0,
39337746,T2 neuf a proximité de la plage,302145698,Victor,Hendaye,Hendaye,43.3715,-1.75149,Entire home/apt,61,2,37,2023-12-10,0.70,1,142,17,642600016907D
39355069,Grande maison sur les berges de l’Adour 🌊,302279524,Emilie,La Bastide-Clairence,Urt,43.50614,-1.27445,Entire home/apt,400,7,11,2023-08-26,0.21,1,305,4,
39357002,"Studio 4p idéalement placé, résidence avec piscine",259731040,Jacques,Hendaye,Ciboure,43.38048,-1.66098,Entire home/apt,60,3,17,2023-07-29,0.32,2,257,1,6418900062207
40576782,DUPLEX T3 avec piscine +jardinet à ANGLET  6 perso,133425568,Patricia,Anglet,Anglet,43.475368,-1.526669,Entire home/apt,150,7,13,2023-08-12,0.29,2,337,2,6402400065508
40583553,T2 GUÉTHARY accès PLAGE VILLAGE COMMERCES à pieds!,290171977,Pamela Et Manou,Saint-Jean-de-Luz,Bidart,43.42525,-1.60415,Entire home/apt,86,2,85,2023-09-24,1.65,2,147,12,64249000038D2
39375992,Belle Epoque By Firstlidays,33287882,Michel Agence First,Biarritz,Biarritz,43.47794,-1.55873,Entire home/apt,85,1,9,2023-06-21,0.20,23,329,3,64122001446F5
40634022,Belle Maison Basque 14 Personnes,315020916,Kristina,Hendaye,Urrugne,43.36104,-1.69658,Entire home/apt,339,2,67,2023-10-23,1.35,1,154,13,6454500031863
39380346,T2 Saint jean de luz-Ciboure. Centre historique.,302487735,Marie,Hendaye,Ciboure,43.37978,-1.67329,Entire home/apt,55,6,64,2024-01-01,1.24,1,316,15,64189000506A1
40634145,"Studio indépendant, dans maison à Anglet, parking",13380694,Sofia,Anglet,Anglet,43.48194,-1.51861,Entire home/apt,65,2,30,2023-08-30,0.58,2,224,13,64024001077A0
39410412,Chambre 20 m2 vue Rhune (2ème chambre possible),37141357,Sabrina,Hendaye,Hendaye,43.37194,-1.74622,Private room,40,2,21,2022-09-09,0.40,2,23,0,
39429651,Agréable appartement dans maison individuelle,160711881,Celine,Hendaye,Hendaye,43.37109,-1.76554,Entire home/apt,104,3,31,2024-01-15,0.59,15,275,6,6426000127927
40664050,La plage à 10 min à pied !  Wifi gratuit,69476441,Odile,Hendaye,Hendaye,43.36894,-1.76543,Entire home/apt,80,5,55,2023-10-15,1.07,1,285,16,642600006935D
39438824,Chambre 2 personnes,302927726,Régine,Ustaritz,Saint-PÃ©e-sur-Nivelle,43.33418,-1.54804,Private room,45,1,270,2024-03-10,5.99,1,337,95,
40686586,JOLI STUDIO PROCHE GRANDE PLAGE,315789358,Helene,Biarritz,Biarritz,43.48383,-1.54098,Entire home/apt,65,2,59,2023-09-23,1.30,1,206,12,64122003460AE
39461363,T1 avec terrasse idéalement situé dans Bayonne,33846661,Sabine,Bayonne,Bayonne,43.48527,-1.47922,Entire home/apt,40,3,45,2023-08-21,1.00,1,0,8,6410200027944
40691912,Charmant Appartement de 45 m2 aux Halles,315837072,Nicolas,Biarritz,Biarritz,43.4799,-1.56136,Entire home/apt,90,3,57,2023-10-10,1.11,1,175,14,641220016480C
39475860,Villa d’architecte sur point culminant classée 4*,19729048,Monique,Hendaye,Urrugne,43.35543,-1.67623,Entire home/apt,375,7,2,2022-01-02,0.07,2,324,0,64545000002F3
39482860,F2 au centre de Cambo les Bains,37123480,Izaskun,Espelette,Cambo-les-Bains,43.35329,-1.3974,Entire home/apt,50,2,26,2023-12-26,0.58,3,299,5,
40700415,Studio balcon vue mer à côté du phare de Biarritz,25000028,Vanessa,Anglet,Anglet,43.49402,-1.5452,Entire home/apt,49,3,148,2024-03-19,2.87,8,238,27,64024002078D8
40712990,Belle maison avec piscine entre Bidart et Biarritz,169305664,Delphine Et Frédéric,Saint-Jean-de-Luz,Bidart,43.44195742409545,-1.5594199819091046,Entire home/apt,284,2,57,2024-03-06,1.23,3,185,22,6403500007065
39497511,Cosy and luminous 2 bedroom flat,256149514,Marie,Biarritz,Biarritz,43.482208,-1.553323,Entire home/apt,86,2,221,2024-03-17,4.19,2,349,54,641220027810A
40723070,"Apartamento con 2 habitaciones, cocina y piscina",10680903,Yolanda,Hendaye,Hendaye,43.37006,-1.75552,Entire home/apt,190,2,10,2023-05-18,0.22,4,107,1,64260000965C3
39552019,ANGLET/BIARRITZ T3 dans résidence avec piscine,252817893,Béatrice,Anglet,Anglet,43.4765,-1.52645,Entire home/apt,70,3,6,2023-10-14,0.13,1,209,2,6402400018291
40726939,"BAYONNE, CHARMANT T2 QUARTIER CATHEDRALE",29421758,Michèle,Bayonne,Bayonne,43.491119384765625,-1.4766689538955688,Entire home/apt,65,7,44,2023-08-26,0.85,1,237,7,6410200020274
